date,total_aapp_miles_eur,estado_miles_eur,ccaa_miles_eur,ccll_miles_eur,ss_miles_eur
1994-12,249507617,207140004,21852040,16908024,7267799
1995-01,252451585,207914576,23317961,17055002,7932319
1995-02,259118750,214231990,23411431,17149292,8154868
1995-03,261635991,214800869,23796256,17489136,8809797
1995-04,259880528,213797673,24085346,17659768,8599960
1995-05,262931318,216018529,24788451,17703317,8822509
1995-06,272563277,224778709,24750747,18008973,9103368
1995-07,274380327,226927349,25300398,18039082,9267601
1995-08,277030145,229618668,25337013,17963270,9490150
1995-09,279730531,231338869,25385337,18008556,9726534
1995-10,276833408,229256119,25400132,18051100,9935244
1995-11,277777226,229866202,25806754,17991873,10157791
1995-12,283457294,233138688,26828620,17941327,10648512
1996-01,287316119,237968294,27275284,18295527,10330150
1996-02,289158590,239396259,27444123,18383618,10552951
1996-03,292785560,242015473,27717103,18435740,10693221
1996-04,293587313,242379095,28351662,18808371,10917705
1996-05,293015714,241873162,28521387,18569733,11039374
1996-06,295757596,243574493,28678251,18766695,11064352
1996-07,297223913,245412615,29028019,18784394,11647730
1996-08,294998718,243098837,29152136,18739635,11769399
1996-09,302927591,250097684,29068713,18729487,12102035
1996-10,307766446,255407304,29567606,18816659,11769399
1996-11,310233359,257734962,29710474,18818561,11769399
1996-12,319975811,264500609,30782271,18901575,13780344
1997-01,319259104,265872040,31157030,18609097,13414328
1997-02,315009878,261005990,31474936,18803271,13628000
1997-03,319311355,263713605,31803086,18861322,13841648
1997-04,323017233,268153406,32387038,18750124,14130332
1997-05,331667900,276207238,32843831,18900709,14224390
1997-06,326859750,268995067,33534886,19312053,14483528
1997-07,327154326,270120372,33843227,19325863,14697488
1997-08,330665786,273977198,33539682,19284519,14910847
1997-09,330961479,273029445,33373071,19348286,15125408
1997-10,330722842,274087774,33988199,18785183,15338767
1997-11,329328003,272797616,33965789,18706695,15552727
1997-12,333627253,274621204,34295152,18293725,16347559
1998-01,336644707,279674794,34635868,18279598,15779603
1998-02,341262114,283561530,34864173,18477710,16192498
1998-03,343789160,284950947,34661476,18299897,16431100
1998-04,342183006,284162414,35132033,18534636,16669101
1998-05,343092299,285067561,35293804,18385708,16907102
1998-06,349355679,289358481,35442339,18617779,17145103
1998-07,350027709,291377279,35792091,18607140,17383104
1998-08,347904179,290098089,35122382,18643565,17621706
1998-09,353728052,293949492,35019889,18740753,17859707
1998-10,357794369,298585369,35694425,18742974,18097708
1998-11,354815251,288201129,35322355,18887615,18335709
1998-12,346416957,284480190,36100054,19168564,18523520
1999-01,345034716,284605553,36579043,19186172,18567394
1999-02,347792449,287288149,36348444,19338121,18611767
1999-03,350850706,288158914,36949775,19547022,18655744
1999-04,347208797,285461386,37462042,19723348,18700021
1999-05,351299009,289566817,37417064,19745447,18744141
1999-06,353859629,290394101,37387470,19949279,18788568
1999-07,347213548,285113622,37489747,19702648,18832394
1999-08,349133939,287731479,36865746,19631680,18876514
1999-09,352143633,290161094,36245102,19518206,18920640
1999-10,350652571,289426282,36788654,19557911,18964767
1999-11,355647234,294175906,36744239,19852436,19008887
1999-12,362223472,298753638,37564926,19656156,18958697
2000-01,361469075,299192013,37102812,19399643,18958697
2000-02,363673949,300795076,37484574,19576037,18958697
2000-03,362693773,299087038,37936126,19709940,18958697
2000-04,360996144,296379713,38860110,19828528,18958697
2000-05,362887252,298334298,38605832,19976334,18958697
2000-06,365742702,301185763,38397603,20000516,18958697
2000-07,369435709,304192522,39346190,19817364,18958697
2000-08,367762765,303521070,38465673,19802823,18958697
2000-09,369100436,304612611,38633010,19784288,18958697
2000-10,371976984,306961983,39189507,19762147,18958697
2000-11,373649183,308710705,38870774,19793870,18958697
2000-12,374557237,309439129,39474226,19792729,18831547
2001-01,369688816,304802744,39472406,19628297,18831547
2001-02,369285747,303800912,39882707,19758510,18831547
2001-03,372829621,307139706,40004627,19731758,18831547
2001-04,372356420,305875522,40762679,19694748,18831547
2001-05,374286514,308225349,40390449,19729342,18831547
2001-06,377138238,310861544,40708938,19849364,18831547
2001-07,379193620,311611007,41922564,19956750,18831547
2001-08,377142269,310390208,41297102,19607934,18831547
2001-09,378281092,311537052,41365110,19563049,18831547
2001-10,378222740,310563850,42149440,19599369,18831547
2001-11,377538635,310129694,41753517,19662811,18831547
2001-12,378883415,309354793,43706299,20169699,18704397
2002-01,379017848,308384027,44751250,20438581,18704397
2002-02,375772547,304216578,45490871,20469172,18704397
2002-03,379001637,309380484,43502501,20461046,18704397
2002-04,382309603,311428019,44574065,20604058,18704397
2002-05,385278475,316221715,44138445,20645179,18704397
2002-06,383191140,314017738,44379771,20987715,18704397
2002-07,378385918,308229039,46209360,20948083,18704397
2002-08,375565938,307528333,44315784,20711940,18704397
2002-09,381131103,313337951,44145693,20660090,18704397
2002-10,382507526,314276063,44346411,20867301,18704397
2002-11,382559797,314585204,45851698,20859893,18704397
2002-12,384145341,314705350,46470791,21521637,18577247
2003-01,379076924,309495465,46605443,21633539,18577247
2003-02,381225091,311454852,46589887,21780742,18577247
2003-03,381976075,312389498,46810174,21888766,18577247
2003-04,388748555,318165843,47844993,22052357,18577247
2003-05,385293604,315249421,48056828,22160201,17168553
2003-06,389134304,318363535,48247798,22377267,18577247
2003-07,386587967,315152465,49008314,22592600,18577247
2003-08,379466305,311043086,48113717,22262415,17168553
2003-09,382788224,314047788,48121385,22285323,18577247
2003-10,381214619,312044029,48403109,22335791,18577247
2003-11,381202619,314337967,47432010,22245143,17168553
2003-12,382775032,312895896,49027796,22913942,18450097
2004-01,386087478,318524404,50072527,22929186,17168553
2004-02,385066596,317545980,49936561,22994877,17168553
