"CÓDIGO DE LA SERIE",DMNPDE2010_P00000_PS_APU,DMNPDE2010_P00000_PS_AES,DMNPDE2010_P00000_PS_AEA,DMNPDE2010_P00000_PS_ACS,DMNPDE2010_P00000_PS_ALS,DMNPDE2010_P00000_PS_ASG,DMNPDE2010_P00030_PS_APU,DMNPDE2010_F20000_PS_APU,DMNPDE2010_F30000_PS_APU,DMNPDE2010_F31000_PS_APU,DMNPDE2010_F32000_PS_APU,DMNPDE2010_F40000_PS_APU,DMNPDE2010_F41000_PS_APU,DMNPDE2010_F42000_PS_APU
"NÚMERO SECUENCIAL",2359317,2332388,2324922,2324345,2324348,2327192,2359319,2359320,2324955,2359307,2359311,2359313,2359314,2359315
"ALIAS DE LA SERIE","BE_11_B.1","BE_11_B.2","BE_11_B.3","BE_11_B.4","BE_11_B.5","BE_11_B.6","BE_11_B.7","BE_11_B.8","BE_11_B.9","BE_11_B.10","BE_11_B.11","BE_11_B.12","BE_11_B.13","BE_11_B.14"
"DESCRIPCIÓN DE LA SERIE","PDE (SEC2010). AAPP. Deuda PDE. Total","PDE (SEC2010). Estado. Deuda PDE. Total","PDE (SEC2010). AAPP. Organismos de la Administración Central. Deuda PDE. Total","PDE (SEC2010). CCAA. Deuda PDE. Total","PDE (SEC2010). CCLL. Deuda PDE. Total","PDE (SEC2010). Administraciones de Seguridad Social. Deuda. Total","PDE (SEC2010). AAPP. Deuda en poder de AAPP  (consolidación)","PDE (SEC2010). AAPP. Efectivo y depósitos","PDE (SEC2010). AAPP. Valores representativos de deuda. Total","PDE (SEC2010). AAPP. Valores representativos de deuda a corto plazo","PDE (SEC2010). AAPP. Valores representativos de deuda a largo plazo","PDE (SEC2010). AAPP. Préstamos. Total","PDE (SEC2010). AAPP. Préstamos a corto plazo","PDE (SEC2010). AAPP. Préstamos a largo plazo"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de euros","Miles de euros","Miles de euros","Miles de euros","Miles de euros","Miles de euros","Miles de euros","Miles de euros","Miles de euros","Miles de euros","Miles de euros","Miles de euros","Miles de euros","Miles de euros"
"FRECUENCIA","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL"
"DIC 1994",249507617,207140004,2193976,21852040,16908024,7267799,5854225,2147152,188828478,70997232,117831246,58531985,6637806,51894180
"ENE 1995",252451585,207914576,2531044,23317961,17055002,7932319,6299317,2158803,185632672,67237143,118395529,64660110,7066221,57593889
"FEB 1995",259118750,214231990,2693035,23411431,17149292,8154868,6521866,2152474,192560234,72828086,119732148,64406043,6890987,57515055
"MAR 1995",261635991,214800869,3484347,23796256,17489136,8809797,6744415,2176087,193363934,69591541,123772393,66095970,7007981,59087989
"ABR 1995",259880528,213797673,2704739,24085346,17659768,8599960,6966958,2184043,192912753,69063264,123849489,64783733,6695279,58088454
"MAY 1995",262931318,216018529,2788019,24788451,17703317,8822509,7189507,2198734,195730942,69418336,126312606,65001642,6554274,58447368
"JUN 1995",272563277,224778709,3333535,24750747,18008973,9103368,7412056,2286778,205042489,74361693,130680797,65234009,6969539,58264470
"JUL 1995",274380327,226927349,2480495,25300398,18039082,9267601,7634599,2320604,208413060,77488999,130924060,63646663,6900924,56745739
"AGO 1995",277030145,229618668,2478192,25337013,17963270,9490150,7857148,2337983,211255990,77313946,133942044,63436171,6674899,56761273
"SEP 1995",279730531,231338869,3350932,25385337,18008556,9726534,8079697,2341134,214724035,76967982,137756053,62665361,7035965,55629397
"OCT 1995",276833408,229256119,2493053,25400132,18051100,9935244,8302240,2336541,212661162,72983913,139677249,61835705,7224684,54611021
"NOV 1995",277777226,229866202,2479395,25806754,17991873,10157791,8524789,2330942,213486311,71002698,142483613,61959973,7397113,54562861
"DIC 1995",283457294,233138688,3401497,26828620,17941327,10648512,8501350,2338302,216717260,71507793,145209466,64401733,7836106,56565627
"ENE 1996",287316119,237968294,2170763,27275284,18295527,10330150,8723899,2342339,219434392,71035664,148398728,65539388,8050644,57488745
"FEB 1996",289158590,239396259,2328339,27444123,18383618,10552951,8946700,2331188,221335378,69354830,151980548,65492023,7823510,57668513
"MAR 1996",292785560,242015473,2992127,27717103,18435740,10693221,9068104,2362436,224163870,69660632,154503237,66259255,8337708,57921546
"ABR 1996",293587313,242379095,2441935,28351662,18808371,10917705,9311454,2392042,225174560,71832452,153342108,66020711,8495682,57525030
"MAY 1996",293015714,241873162,2445182,28521387,18569733,11039374,9433123,2403324,224877140,70168008,154709132,65735250,8246685,57488565
"JUN 1996",295757596,243574493,3106928,28678251,18766695,11064352,9433123,2417262,226846080,69973739,156872341,66494254,8767634,57726619
"JUL 1996",297223913,245412615,2392634,29028019,18784394,11647730,10041479,2435380,228886169,70340444,158545725,65902364,8450024,57452340
"AGO 1996",294998718,243098837,2401860,29152136,18739635,11769399,10163148,2450708,223872171,66833569,157038602,68675840,8155609,60520232
"SEP 1996",302927591,250097684,3092820,29068713,18729487,12102035,10163148,2453609,233889989,72936138,160953851,66583993,8395615,58188378
"OCT 1996",307766446,255407304,2368627,29567606,18816659,11769399,10163148,2450861,239359043,74778861,164580182,65956542,8342321,57614221
"NOV 1996",310233359,257734962,2363111,29710474,18818561,11769399,10163148,2438119,241805110,77859455,163945655,65990130,8264915,57725215
"DIC 1996",319975811,264500609,3327165,30782271,18901575,13780344,11316153,2436425,248849631,81485079,167364552,68689755,8739783,59949972
"ENE 1997",319259104,265872040,2209112,31157030,18609097,13414328,12002503,2429949,250520757,81426793,169093964,66308398,8530352,57778046
"FEB 1997",315009878,261005990,2313851,31474936,18803271,13628000,12216169,2413367,246093793,79542058,166551735,66502718,8356255,58146463
